t	ldf	mean	var	multiplicity
75.500000	-0.266966	-0.848394	3.098340	18081.000000
76.000000	-0.267263	-0.849243	3.104330	17929.000000
76.500000	-0.267556	-0.849743	3.107496	17768.000000
77.000000	-0.267846	-0.850461	3.109458	17606.000000
77.500000	-0.268136	-0.851027	3.111011	17453.000000
78.000000	-0.268421	-0.851676	3.112239	17300.000000
78.500000	-0.268705	-0.852138	3.114789	17154.000000
79.000000	-0.268979	-0.852669	3.115934	16995.000000
79.500000	-0.269259	-0.853155	3.114176	16864.000000
80.000000	-0.269537	-0.853628	3.115732	16706.000000
80.500000	-0.269805	-0.854392	3.117095	16570.000000
81.000000	-0.270069	-0.854997	3.118672	16423.000000
81.500000	-0.270332	-0.855821	3.122073	16270.000000
82.000000	-0.270597	-0.856340	3.125805	16128.000000
82.500000	-0.270846	-0.856930	3.126653	16001.000000
83.000000	-0.271099	-0.857687	3.130301	15879.000000
83.500000	-0.271350	-0.858264	3.134113	15756.000000
84.000000	-0.271601	-0.858946	3.139858	15628.000000
84.500000	-0.271852	-0.859448	3.139876	15488.000000
85.000000	-0.272090	-0.859644	3.137065	15359.000000
85.500000	-0.272338	-0.860004	3.141072	15227.000000
86.000000	-0.272576	-0.860310	3.141938	15094.000000
86.500000	-0.272805	-0.860624	3.143018	14975.000000
87.000000	-0.273036	-0.861033	3.144712	14863.000000
87.500000	-0.273265	-0.861351	3.147391	14750.000000
88.000000	-0.273491	-0.861945	3.149280	14619.000000
88.500000	-0.273718	-0.862420	3.147733	14488.000000
89.000000	-0.273939	-0.862795	3.154154	14381.000000
89.500000	-0.274162	-0.863374	3.158162	14269.000000
90.000000	-0.274383	-0.864013	3.163687	14171.000000
90.500000	-0.274592	-0.864589	3.169532	14063.000000
91.000000	-0.274799	-0.864890	3.177023	13971.000000
91.500000	-0.275010	-0.865128	3.179866	13873.000000
92.000000	-0.275214	-0.865323	3.177634	13770.000000
92.500000	-0.275422	-0.865728	3.181277	13663.000000
93.000000	-0.275633	-0.866239	3.185562	13576.000000
93.500000	-0.275833	-0.866474	3.183879	13492.000000
94.000000	-0.276030	-0.866803	3.189589	13404.000000
94.500000	-0.276229	-0.867149	3.195363	13302.000000
95.000000	-0.276434	-0.867377	3.196389	13198.000000
95.500000	-0.276634	-0.867777	3.198107	13094.000000
96.000000	-0.276828	-0.868256	3.200259	12997.000000
96.500000	-0.277019	-0.868628	3.200642	12907.000000
97.000000	-0.277216	-0.869077	3.203494	12802.000000
97.500000	-0.277402	-0.869473	3.204816	12720.000000
98.000000	-0.277588	-0.870006	3.213255	12644.000000
98.500000	-0.277774	-0.870469	3.219646	12555.000000
99.000000	-0.277956	-0.871033	3.220074	12469.000000
99.500000	-0.278131	-0.871249	3.220290	12386.000000
100.000000	-0.278312	-0.871770	3.220144	12317.000000
100.500000	-0.278486	-0.872049	3.225945	12242.000000
101.000000	-0.278663	-0.872434	3.227388	12166.000000
101.500000	-0.278838	-0.872679	3.234386	12089.000000
102.000000	-0.279014	-0.872903	3.235322	12000.000000
102.500000	-0.279186	-0.873332	3.238039	11924.000000
103.000000	-0.279356	-0.873559	3.241247	11852.000000
103.500000	-0.279524	-0.874005	3.246901	11774.000000
104.000000	-0.279686	-0.874202	3.250707	11697.000000
104.500000	-0.279844	-0.874598	3.253305	11627.000000
105.000000	-0.280008	-0.875014	3.254247	11564.000000
105.500000	-0.280167	-0.875198	3.256752	11489.000000
106.000000	-0.280328	-0.875394	3.255407	11414.000000
106.500000	-0.280488	-0.875533	3.251528	11339.000000
107.000000	-0.280648	-0.875828	3.250394	11268.000000
107.500000	-0.280809	-0.876016	3.254038	11191.000000
108.000000	-0.280971	-0.876258	3.253276	11119.000000
108.500000	-0.281131	-0.876362	3.256041	11056.000000
109.000000	-0.281289	-0.876581	3.265259	10994.000000
109.500000	-0.281449	-0.876830	3.267365	10918.000000
110.000000	-0.281603	-0.877031	3.266485	10842.000000
110.500000	-0.281763	-0.877377	3.271969	10785.000000
111.000000	-0.281917	-0.877899	3.276725	10711.000000
111.500000	-0.282062	-0.878237	3.279609	10651.000000
112.000000	-0.282211	-0.878484	3.284357	10600.000000
112.500000	-0.282357	-0.878903	3.284124	10528.000000
113.000000	-0.282503	-0.879173	3.288860	10477.000000
113.500000	-0.282652	-0.879365	3.287909	10417.000000
114.000000	-0.282794	-0.879600	3.291599	10352.000000
114.500000	-0.282934	-0.879744	3.298488	10302.000000
115.000000	-0.283078	-0.879953	3.305910	10247.000000
115.500000	-0.283216	-0.880108	3.305951	10180.000000
116.000000	-0.283354	-0.880376	3.303337	10122.000000
116.500000	-0.283489	-0.880562	3.312593	10058.000000
117.000000	-0.283627	-0.880765	3.313911	10005.000000
117.500000	-0.283763	-0.881008	3.311618	9947.000000
118.000000	-0.283895	-0.881271	3.309315	9887.000000
118.500000	-0.284031	-0.881384	3.309031	9834.000000
119.000000	-0.284163	-0.881767	3.307202	9764.000000
119.500000	-0.284286	-0.882160	3.309624	9709.000000
120.000000	-0.284419	-0.882495	3.310818	9657.000000
120.500000	-0.284549	-0.882574	3.313609	9612.000000
121.000000	-0.284680	-0.882821	3.311061	9565.000000
121.500000	-0.284809	-0.882976	3.308078	9510.000000
122.000000	-0.284933	-0.883094	3.314607	9447.000000
122.500000	-0.285057	-0.883158	3.317197	9389.000000
123.000000	-0.285180	-0.883125	3.315380	9335.000000
123.500000	-0.285300	-0.883354	3.318079	9282.000000
124.000000	-0.285421	-0.883637	3.326168	9231.000000
124.500000	-0.285546	-0.884029	3.330791	9175.000000
125.000000	-0.285671	-0.884147	3.330963	9124.000000
125.500000	-0.285793	-0.884418	3.327796	9080.000000
126.000000	-0.285909	-0.884589	3.327153	9034.000000
126.500000	-0.286022	-0.884778	3.325411	8984.000000
127.000000	-0.286137	-0.884946	3.324380	8920.000000
127.500000	-0.286251	-0.885117	3.330951	8863.000000
128.000000	-0.286368	-0.885543	3.329020	8820.000000
128.500000	-0.286482	-0.885847	3.329297	8777.000000
129.000000	-0.286598	-0.886170	3.333150	8737.000000
129.500000	-0.286715	-0.886465	3.333359	8693.000000
130.000000	-0.286825	-0.886533	3.328351	8627.000000
130.500000	-0.286936	-0.886585	3.328627	8592.000000
131.000000	-0.287040	-0.886694	3.330641	8541.000000
131.500000	-0.287147	-0.886993	3.338626	8495.000000
132.000000	-0.287253	-0.887184	3.340989	8450.000000
132.500000	-0.287360	-0.887444	3.346333	8397.000000
133.000000	-0.287465	-0.887647	3.346240	8353.000000
133.500000	-0.287568	-0.888012	3.350390	8300.000000
134.000000	-0.287675	-0.888147	3.353333	8254.000000
134.500000	-0.287772	-0.888202	3.357866	8224.000000
135.000000	-0.287868	-0.888447	3.360556	8184.000000
135.500000	-0.287967	-0.888595	3.367385	8138.000000
136.000000	-0.288065	-0.888649	3.367865	8094.000000
136.500000	-0.288160	-0.888938	3.372104	8056.000000
137.000000	-0.288258	-0.889229	3.376894	8023.000000
137.500000	-0.288359	-0.889223	3.373221	7985.000000
138.000000	-0.288454	-0.889413	3.370160	7953.000000
138.500000	-0.288548	-0.889496	3.371104	7909.000000
139.000000	-0.288646	-0.889749	3.373959	7876.000000
139.500000	-0.288741	-0.890033	3.371688	7846.000000
140.000000	-0.288840	-0.890351	3.372128	7809.000000
140.500000	-0.288934	-0.890587	3.370219	7764.000000
141.000000	-0.289019	-0.890859	3.372615	7719.000000
141.500000	-0.289111	-0.890922	3.375166	7680.000000
142.000000	-0.289200	-0.891084	3.376503	7654.000000
142.500000	-0.289295	-0.891126	3.375791	7621.000000
143.000000	-0.289391	-0.891321	3.370915	7596.000000
143.500000	-0.289483	-0.891542	3.370075	7567.000000
144.000000	-0.289574	-0.891605	3.371381	7531.000000
144.500000	-0.289663	-0.891796	3.371531	7493.000000
145.000000	-0.289748	-0.892000	3.375756	7456.000000
145.500000	-0.289840	-0.892272	3.375473	7415.000000
146.000000	-0.289932	-0.892499	3.380989	7373.000000
146.500000	-0.290022	-0.892714	3.383277	7344.000000
147.000000	-0.290108	-0.892771	3.388416	7298.000000
147.500000	-0.290197	-0.892844	3.392113	7273.000000
148.000000	-0.290285	-0.893050	3.395584	7239.000000
148.500000	-0.290373	-0.893260	3.394916	7210.000000
149.000000	-0.290458	-0.893327	3.394408	7183.000000
149.500000	-0.290541	-0.893394	3.395564	7151.000000
150.000000	-0.290627	-0.893696	3.395408	7122.000000
150.500000	-0.290715	-0.893939	3.398990	7097.000000
151.000000	-0.290799	-0.894217	3.399122	7057.000000
151.500000	-0.290880	-0.894294	3.398025	7022.000000
152.000000	-0.290965	-0.894433	3.399957	6992.000000
152.500000	-0.291046	-0.894614	3.397688	6965.000000
153.000000	-0.291123	-0.894658	3.402809	6940.000000
153.500000	-0.291201	-0.894899	3.411421	6909.000000
154.000000	-0.291280	-0.895069	3.411011	6875.000000
154.500000	-0.291368	-0.895121	3.414084	6840.000000
155.000000	-0.291448	-0.895232	3.415919	6803.000000
155.500000	-0.291528	-0.895456	3.422902	6768.000000
156.000000	-0.291606	-0.895610	3.424828	6729.000000
156.500000	-0.291682	-0.895645	3.422209	6700.000000
157.000000	-0.291759	-0.895751	3.427545	6671.000000
157.500000	-0.291834	-0.895958	3.428127	6642.000000
158.000000	-0.291915	-0.896145	3.429185	6613.000000
158.500000	-0.291987	-0.896267	3.433021	6580.000000
159.000000	-0.292061	-0.896567	3.432670	6552.000000
159.500000	-0.292138	-0.896757	3.429227	6523.000000
160.000000	-0.292216	-0.896914	3.431773	6492.000000
160.500000	-0.292294	-0.897195	3.430048	6462.000000
161.000000	-0.292369	-0.897305	3.429054	6432.000000
161.500000	-0.292451	-0.897435	3.431130	6411.000000
162.000000	-0.292527	-0.897326	3.429532	6384.000000
162.500000	-0.292600	-0.897316	3.431996	6353.000000
163.000000	-0.292670	-0.897291	3.430150	6325.000000
163.500000	-0.292746	-0.897358	3.426332	6294.000000
164.000000	-0.292816	-0.897533	3.429442	6262.000000
164.500000	-0.292890	-0.897769	3.428470	6238.000000
165.000000	-0.292965	-0.897901	3.431874	6214.000000
